Puzzle,Givens,Singles,Hidden Singles,Naked Pairs,Hidden Pairs,Pointing Pairs/Triples,Box/Line Intersections,Guesses,Backtracks,Difficulty
.4.......6.2.....3....18...98.4..52...........23.....1.69..2...5.46..9......83...,23,58,0,0,0,0,0,0,0,Simple,
51.7..6.....4..1.3.....2..492.5.3...6.1.......7.....2..6...1......269...1.5..4...,25,56,0,0,0,0,0,0,0,Simple,
4.............7.....9.1826.5.....1.92....96757...8..4.......724..1....9.6.......1,25,56,0,0,0,0,0,0,0,Simple,
.......2...6..3......5..3.7...84..1.6.4.....21..2.6..5...617.8......5..65...2..74,26,55,0,0,0,0,0,0,0,Simple,
36..9.5....4.57.8.......16....1..3..5.9..8.7.1...3.8...7...4.............81..39..,25,56,0,0,0,0,0,0,0,Simple,
8.....91..9...8..2.23...5.8......7.3.421.........8..9........2...8..1..5.3.7.9...,24,57,0,0,0,0,0,0,0,Simple,
.4..7.....6...51..3.7..46.5......4..5.............28.3.163....7...8....2834.....1,25,56,0,0,0,0,0,0,0,Simple,
.7..1....3..2..4..4..65...8................6......7.5..2..435.683.....2175...13..,25,56,0,0,0,0,0,0,0,Simple,
.........8.....7....2...4.....18.3.73..5....991.74.85.5..8....4....215..1...7.2.3,27,54,0,0,0,0,0,0,0,Simple,
.9.........8..2....354..8....3...7.81......42.27.8.1.9.4....5....9.......7.85.4.1,26,55,0,0,0,0,0,0,0,Simple,
48..5.37.79..43...3...1...65....6...97......11..73.8........1........769.......85,27,54,0,0,0,0,0,0,0,Simple,
2..9......53...1..7.9235....42...7.....162......37..9...1.26.4...........9.5.1...,26,55,0,0,0,0,0,0,0,Simple,
.1.......7382.1..54.2.......5...4.....73..5..32678.......5..24...1.2.8.3...17....,28,53,0,0,0,0,0,0,0,Simple,
4.891.2....92...1..2.856.9........4..9...83.514...3.....6...8..3.......158.......,27,54,0,0,0,0,0,0,0,Simple,
.......1.....3..86...71439.....6.......197.......8.473.......5..53.....7.64...9.8,25,56,0,0,0,0,0,0,0,Simple,
..........96..5....5...8...5.1.....7...6..5...73...8..985.7...16.7.4..954...3..6.,26,55,0,0,0,0,0,0,0,Simple,
...2..4.......8..5.3.95........8....2.35.18.78.9.47.1.1.....59........41......2.8,26,55,0,0,0,0,0,0,0,Simple,
74..5.3..5.9.41...31.7....9...5.3.64........7............9..513...2.....4...752.6,27,54,0,0,0,0,0,0,0,Simple,
2.9.....7......9...7....4..6..1.9..5...8.5.74.8..76...7.5....92.46.......2....8..,25,56,0,0,0,0,0,0,0,Simple,
189.74...2........7.49.......5.19..6...........846.7.9....98.6..4...2...826..1...,27,54,0,0,0,0,0,0,0,Simple,
